"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-12-01 00:00:00.000 +0200,131.10,19,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,96.30,,0,0,1,34.80,0,131.10,1,2023-01-01
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,2022-03-01 00:00:00.000 +0200,12.54,35,ru,,2022-05-01 00:00:00.000 +0300,2022-04-01,2022-02-01,,31.56,12.54,1,1,0,0,12.54,1,2022-04-01
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,2022-05-01 00:00:00.000 +0300,31.56,35,ru,2022-03-01 00:00:00.000 +0200,,2022-06-01,2022-04-01,12.54,,0,0,1,0,0,31.56,1,2022-06-01
fXlo39/YD2z9SEVShTXp6w==,game 3,2022-05-01 00:00:00.000 +0300,17.34,34,uk,,,2022-06-01,2022-04-01,,,17.34,1,1,0,0,17.34,1,2022-06-01
G073LR6lQoatStpZMzNVOQ==,game 3,2022-09-01 00:00:00.000 +0300,35.10,25,uk,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,16.65,35.10,1,1,0,0,0,0,
G073LR6lQoatStpZMzNVOQ==,game 3,2022-10-01 00:00:00.000 +0300,16.65,25,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,35.10,94.32,0,0,1,0,18.45,0,0,
G073LR6lQoatStpZMzNVOQ==,game 3,2022-11-01 00:00:00.000 +0200,94.32,25,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,16.65,89.70,0,0,1,77.67,0,0,0,
G073LR6lQoatStpZMzNVOQ==,game 3,2022-12-01 00:00:00.000 +0200,89.70,25,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,94.32,,0,0,1,0,4.62,89.70,1,2023-01-01
G9053rs6jbKItKUhrUdLew==,game 3,2022-07-01 00:00:00.000 +0300,47.01,27,uk,,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,,41.94,47.01,1,1,0,0,0,0,
G9053rs6jbKItKUhrUdLew==,game 3,2022-08-01 00:00:00.000 +0300,41.94,27,uk,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,47.01,64.95,0,0,1,0,5.07,0,0,
G9053rs6jbKItKUhrUdLew==,game 3,2022-09-01 00:00:00.000 +0300,64.95,27,uk,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01,2022-08-01,41.94,103.92,0,0,1,23.01,0,64.95,1,2022-10-01
G9053rs6jbKItKUhrUdLew==,game 3,2022-11-01 00:00:00.000 +0200,103.92,27,uk,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,64.95,17.22,0,0,1,0,0,0,0,
G9053rs6jbKItKUhrUdLew==,game 3,2022-12-01 00:00:00.000 +0200,17.22,27,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,103.92,,0,0,1,0,86.70,17.22,1,2023-01-01
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-04-01 00:00:00.000 +0300,87.36,14,uk,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,48.30,87.36,1,1,0,0,0,0,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-05-01 00:00:00.000 +0300,48.30,14,uk,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,87.36,36.06,0,0,1,0,39.06,0,0,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-06-01 00:00:00.000 +0300,36.06,14,uk,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,48.30,75.36,0,0,1,0,12.24,0,0,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-07-01 00:00:00.000 +0300,75.36,14,uk,2022-06-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-08-01,2022-06-01,36.06,60.06,0,0,1,39.30,0,75.36,1,2022-08-01
